Region_id,Region_type,City_Name,State_abrv,Neighborhood,County
9669,city,Belvidere, NJ, Allentown-Bethlehem-Easton, Warren County
9668,city,Pinetta, FL, Madison County,
9667,city,Pawnee, IL, Springfield, Sangamon County
9665,city,Page, ND, Fargo, Cass County
9664,city,Oronoco, MN, Rochester, Olmsted County
9662,city,Oregon City, OR, Portland-Vancouver-Hillsboro, Clackamas County
9661,city,Onyx, CA, Bakersfield, Kern County
9660,city,Treynor, IA, Omaha-Council Bluffs, Pottawattamie County
9659,city,Thorndale, PA, Philadelphia-Camden-Wilmington, Chester County
9657,city,Kendrick, OK, Oklahoma City, Lincoln County
9656,city,Keavy, KY, London, Laurel County
9655,city,Jonesborough, TN, Johnson City, Washington County
9654,city,Jarreau, LA, Baton Rouge, Pointe Coupee Parish
9653,city,Jacksons Gap, AL, Alexander City, Tallapoosa County
9651,city,Beaconsfield, IA, Ringgold County,
9650,city,Bardolph, IL, Macomb, McDonough County
9648,city,Oak Bluffs, MA, Vineyard Haven, Dukes County
9645,city,Nekoma, KS, Rush County,
9644,city,Mullens, WV, Wyoming County,
9642,city,Stanton, MI, Grand Rapids-Wyoming, Montcalm County
9641,city,Spring Valley, OH, Dayton, Greene County
9639,city,South Webster, OH, Portsmouth, Scioto County
9635,city,Au Train, MI, Alger County,
9630,city,Morganville, KS, Clay County,
9629,city,Montgomery Creek, CA, Redding, Shasta County
9628,city,Minnesota Lake, MN, Faribault County,
9625,city,Maywood, NE, Frontier County,
9624,city,Sandstone, MN, Pine County,
9622,city,Sallis, MS, Attala County,
9619,city,Helvetia, WV, Elkins, Randolph County
9618,city,Harrisville, NY, Ogdensburg-Massena, Saint Lawrence County
9615,city,Ansted, WV, Beckley, Fayette County
9610,city,Algona, IA, Kossuth County,
9607,city,Lutcher, LA, New Orleans-Metairie, Saint James Parish
9605,city,Luana, IA, Clayton County,
9604,city,Long Branch, TX, Panola County,
9603,city,Loganville, WI, Baraboo, Sauk County
9602,city,Leander, TX, Austin-Round Rock, Williamson County
9598,city,Rowland, NC, Lumberton, Robeson County
9596,city,Ronceverte, WV, Greenbrier County,
9594,city,Rocky Ford, CO, Otero County,
9592,city,Roanoke, IL, Peoria, Woodford County
9590,city,Hamburg, MN, Minneapolis-St. Paul-Bloomington, Carver County
9585,city,Sparta, IL, Randolph County,
9584,city,Snow Camp, NC, Burlington, Alamance County
9582,city,Washington, MA, Pittsfield, Berkshire County
9581,city,Scottville, IL, St. Louis, Macoupin County
9574,city,Richland, IN, Spencer County,
9571,city,Reedsburg, WI, Baraboo, Sauk County
9566,city,Goodland, IN, Chicago-Naperville-Elgin, Newton County
9564,city,Glendon, PA, Allentown-Bethlehem-Easton, Northampton County
9563,city,Given, WV, Jackson County,
9562,city,Gibson, LA, Houma-Thibodaux, Terrebonne Parish
9561,city,Georgetown, ID, Bear Lake County,
9560,city,Garwin, IA, Tama County,
9559,city,Galesville, MD, Baltimore-Columbia-Towson, Anne Arundel County
9556,city,White Bear Lake, MN, Minneapolis-St. Paul-Bloomington, Ramsey County
9554,city,Milbridge, ME, Washington County,
9553,city,Mendota, CA, Fresno, Fresno County
9550,city,Westwood, KS, Kansas City, Johnson County
9549,city,Westvale, NY, Syracuse, Onondaga County
9548,city,Weston, OH, Toledo, Wood County
9547,city,Weston, CO, Las Animas County,
9546,city,Westmoreland, TN, Nashville-Davidson--Murfreesboro--Franklin, Sumner County
9544,city,Westbrook, MN, Cottonwood County,
9540,city,Spring Grove, IL, Chicago-Naperville-Elgin, McHenry County
9538,city,Spencer, WV, Roane County,
9537,city,Speedwell, VA, Wythe County,
9535,city,Salem, WV, Clarksburg, Harrison County
9534,city,Salem, MO, Dent County,
9533,city,Salem, AR, Little Rock-North Little Rock-Conway, Saline County
9527,city,West Unity, OH, Williams County,
9525,city,West Stockbridge, MA, Pittsfield, Berkshire County
9522,city,West Point, NE, Cuming County,
9519,city,West Liberty, OH, Bellefontaine, Logan County
9518,city,West Leechburg, PA, Pittsburgh, Westmoreland County
9517,city,Union City, OK, Oklahoma City, Canadian County
9515,city,Tyro, VA, Charlottesville, Nelson County
9514,city,Two Rivers, WI, Manitowoc, Manitowoc County
9511,city,Southampton, MA, Springfield, Hampshire County
9507,city,Saint Libory, IL, St. Louis, Saint Clair County
9505,city,Saint James, MN, Watonwan County,
9504,city,Saint Clair, MI, Detroit-Warren-Dearborn, Saint Clair County
9501,city,Saddle River, NJ, New York-Newark-Jersey City, Bergen County
9500,city,West Hamlin, WV, Huntington-Ashland, Lincoln County
9492,city,South Haven, MN, St. Cloud, Stearns County
9491,city,South Greenfield, MO, Dade County,
9485,city,Sontag, MS, Lawrence County,
9482,city,Ryegate, MT, Billings, Golden Valley County
9481,city,Rutherford, TN, Gibson County,
9480,city,Ruth, NV, White Pine County,
9478,city,Russell, MN, Marshall, Lyon County
9475,city,Wendover, UT, Salt Lake City, Tooele County
9471,city,Weems, VA, Lancaster County,
9469,city,Trumbauersville, PA, Philadelphia-Camden-Wilmington, Bucks County
9468,city,Troy, VT, Orleans County,
9467,city,Troy, KS, St. Joseph, Doniphan County
9461,city,Smithville, AR, Sharp County,
9460,city,Smithfield, ME, Somerset County,
9458,city,Smackover, AR, El Dorado, Union County
9455,city,Rumson, NJ, New York-Newark-Jersey City, Monmouth County
9454,city,Ruffin, SC, Colleton County,
9451,city,Roxana, IL, St. Louis, Madison County
9450,city,Rowesville, SC, Orangeburg, Orangeburg County
9448,city,Watson, OK, McCurtain County,
9447,city,Trenton, MI, Detroit-Warren-Dearborn, Wayne County
9444,city,Tower Hill, IL, Shelby County,
9443,city,Tower City, ND, Barnes County,
9441,city,Towanda, IL, Bloomington, McLean County
9436,city,Sinking Spring, PA, Reading, Berks County
9435,city,Sinclairville, NY, Jamestown-Dunkirk-Fredonia, Chautauqua County
9432,city,Rossville, KS, Topeka, Shawnee County
9431,city,Roseland, NE, Hastings, Adams County
9428,city,Ronda, NC, North Wilkesboro, Wilkes County
9427,city,Romney, WV, Winchester, Hampshire County
9424,city,Washington, TX, Brenham, Washington County
9423,city,Toomsboro, GA, Wilkinson County,
9422,city,Tonka Bay, MN, Minneapolis-St. Paul-Bloomington, Hennepin County
9419,city,Toboyne Township, PA, Harrisburg-Carlisle, Perry County
9417,city,Tintah, MN, Traverse County,
9415,city,Sibley, ND, Barnes County,
9414,city,Sibley, IA, Osceola County,
9412,city,Ward, AR, Little Rock-North Little Rock-Conway, Lonoke County
9411,city,Wapella, IL, Bloomington, Dewitt County
9409,city,Tilly, AR, Russellville, Pope County
9406,city,Tibbie, AL, Washington County,
9403,city,Thousand Palms, CA, Riverside-San Bernardino-Ontario, Riverside County
9401,city,Thoreau, NM, Grants, Cibola County
9399,city,Shiloh, NJ, Vineland-Bridgeton, Cumberland County
9398,city,Sheridan, IN, Indianapolis-Carmel-Anderson, Hamilton County
9396,city,Shell Lake, WI, Washburn County,
9392,city,Yucca, AZ, Lake Havasu City-Kingman, Mohave County
9391,city,Yorktown, IA, Page County,
9389,city,Yanceyville, NC, Caswell County,
9384,city,Walthourville, GA, Hinesville, Liberty County
9383,city,Walnut Grove, MS, Leake County,
9381,city,Walnut Creek, NC, Goldsboro, Wayne County
9380,city,Wallagrass, ME, Aroostook County,
9379,city,Walcott, IA, Davenport-Moline-Rock Island, Scott County
9376,city,Tehama, CA, Red Bluff, Tehama County
9366,city,Seymour, TN, Sevierville, Sevier County
9363,city,Woodburn, IN, Fort Wayne, Allen County
9362,city,Wolf Creek, OR, Grants Pass, Josephine County
9361,city,Wolcottville, IN, Lagrange County,
9359,city,Wittensville, KY, Johnson County,
9355,city,Winton, CA, Merced, Merced County
9353,city,Waitsburg, WA, Walla Walla, Walla Walla County
9351,city,Volente, TX, Austin-Round Rock, Travis County
9346,city,Taylorsville, CA, Plumas County,
9345,city,Tangipahoa, LA, Hammond, Tangipahoa Parish
9343,city,Sesser, IL, Franklin County,
9342,city,Senecaville, OH, Cambridge, Guernsey County
9340,city,Sedan, MN, Pope County,
9330,city,Talkeetna, AK, Anchorage, Matanuska Susitna Borough
9328,city,Tabernash, CO, Grand County,
9326,city,Scranton, NC, Hyde County,
9325,city,Scottsville, TX, Marshall, Harrison County
9324,city,Wynnewood, PA, Philadelphia-Camden-Wilmington, Montgomery County
9321,city,Wrightsville Beach, NC, Wilmington, New Hanover County
9319,city,Woolsey, GA, Atlanta-Sandy Springs-Roswell, Fayette County
9316,city,Vicksburg, MI, Kalamazoo-Portage, Kalamazoo County
9314,city,Vesuvius, VA, Rockbridge County,
9313,city,Vestaburg, MI, Grand Rapids-Wyoming, Montcalm County
9312,city,Versailles, KY, Lexington-Fayette, Woodford County
9311,city,Verona, IL, Chicago-Naperville-Elgin, Grundy County
9310,city,Vernonia, OR, Portland-Vancouver-Hillsboro, Columbia County
9307,city,Sweet Home, OR, Albany, Linn County
9304,city,Swampscott, MA, Boston-Cambridge-Newton, Essex County
9300,city,Sunshine, LA, Baton Rouge, Iberville Parish
9298,city,Schaller, IA, Sac County,
9295,city,Scandinavia, WI, Waupaca County,
9294,city,Savage, MT, Richland County,
9293,city,Winslow, IL, Freeport, Stephenson County
9292,city,Winslow, AR, Fayetteville-Springdale-Rogers, Washington County
9290,city,Windsor, KY, Casey County,
9289,city,Windber, PA, Somerset, Somerset County
9287,city,Vaughn, WA, Seattle-Tacoma-Bellevue, Pierce County
9281,city,Town Of Sardinia, NY, Buffalo-Cheektowaga-Niagara Falls, Erie County
9280,city,Sapphire, NC, Cullowhee, Jackson County
9278,city,Zirconia, NC, Asheville, Henderson County
9275,city,Valley Falls, KS, Topeka, Jefferson County
9274,city,Valley City, ND, Barnes County,
9273,city,Valley, AL, Chambers County,
9269,city,Utopia, TX, Uvalde, Uvalde County
9267,city,Sugar City, ID, Rexburg, Madison County
9263,city,Stroud, OK, Oklahoma City, Lincoln County
9261,city,Stratford, CA, Hanford-Corcoran, Kings County
9255,city,San Pablo, CA, San Francisco-Oakland-Hayward, Contra Costa County
9254,city,Wilmot, SD, Roberts County,
9253,city,Wilmot, NH, Concord, Merrimack County
9240,city,Stoneville, NC, Greensboro-High Point, Rockingham County
9238,city,Stone Park, IL, Chicago-Naperville-Elgin, Cook County
9228,city,Whitsett, NC, Greensboro-High Point, Guilford County
9225,city,Whiting, ME, Washington County,
9224,city,Whiting, IA, Monona County,
9215,city,Star City, AR, Pine Bluff, Lincoln County
9213,city,Stanwood, IA, Cedar County,
9212,city,Saltillo, TN, Hardin County,
9210,city,Salley, SC, Augusta-Richmond County, Aiken County
9209,city,Salix, IA, Sioux City, Woodbury County
9208,city,Salida, CA, Modesto, Stanislaus County
9207,city,Whiteside, MO, St. Louis, Lincoln County
9206,city,Whitesboro, NY, Utica-Rome, Oneida County
9203,city,White Plains, VA, Brunswick County,
9196,city,Wheatcroft, KY, Webster County,
9195,city,Wharton, NJ, New York-Newark-Jersey City, Morris County
9190,city,Squires, MO, Ozark County,
9189,city,Spruce Pine, AL, Franklin County,
9187,city,Springville, IN, Bedford, Lawrence County
9183,city,Monroe, SD, Sioux Falls, Turner County
9182,city,Monroe, IN, Decatur, Adams County
9181,city,Monmouth Junction, NJ, New York-Newark-Jersey City, Middlesex County
9178,city,Mohawk, MI, Houghton, Keweenaw County
9177,city,Mohall, ND, Minot, Renville County
9174,city,Moclips, WA, Aberdeen, Grays Harbor County
9169,city,Prairie View, TX, Houston-The Woodlands-Sugar Land, Waller County
9166,city,Power, MT, Teton County,
9165,city,Powderly, TX, Paris, Lamar County
9163,city,Old Mill Creek, IL, Chicago-Naperville-Elgin, Lake County
9162,city,Oil City, PA, Venango County,
9161,city,Offerle, KS, Edwards County,
9159,city,Minersville, PA, Pottsville, Schuylkill County
9156,city,Lookout, CA, Modoc County,
9155,city,Longport, NJ, Atlantic City-Hammonton, Atlantic County
9153,city,Long Lane, MO, Springfield, Dallas County
9152,city,Town Of Long Lake, NY, Hamilton County,
9151,city,Long Barn, CA, Sonora, Tuolumne County
9150,city,Lonetree, WY, Evanston, Uinta County
9147,city,Port Jervis, NY, New York-Newark-Jersey City, Orange County
9146,city,Pontotoc, MS, Tupelo, Pontotoc County
9145,city,Odell, IL, Pontiac, Livingston County
9143,city,Ochelata, OK, Bartlesville, Washington County
9140,city,Oakwood, TX, Leon County,
9139,city,Milo, MO, Vernon County,
9134,city,Miller, NE, Kearney, Buffalo County
9128,city,Loco, OK, Duncan, Stephens County
9126,city,Lockhart, SC, Spartanburg, Union County
9124,city,Littlefork, MN, Koochiching County,
9121,city,Ponce Inlet, FL, Deltona-Daytona Beach-Ormond Beach, Volusia County
9119,city,Poland, OH, Youngstown-Warren-Boardman, Mahoning County
9115,city,Oak Ridge, MO, Cape Girardeau, Cape Girardeau County
9113,city,Oak Leaf, TX, Dallas-Fort Worth-Arlington, Ellis County
9112,city,Oak Hill, FL, Deltona-Daytona Beach-Ormond Beach, Volusia County
9111,city,Oak Grove, LA, West Carroll Parish,
9110,city,Oak City, UT, Millard County,
9108,city,Novice, TX, Coleman County,
9107,city,Nottingham, NH, Boston-Cambridge-Newton, Rockingham County
9101,city,Little Orleans, MD, Cumberland, Allegany County
9100,city,Linn Valley, KS, Kansas City, Linn County
9099,city,Linn Grove, IA, Storm Lake, Buena Vista County
9098,city,Linkwood, MD, Cambridge, Dorchester County
9094,city,Pleasant View, CO, Montezuma County,
9093,city,Pleasant Hill, LA, Sabine Parish,
9085,city,Northlake, IL, Chicago-Naperville-Elgin, Cook County
9084,city,North Topsail Beach, NC, Jacksonville, Onslow County
9080,city,North Saint Paul, MN, Minneapolis-St. Paul-Bloomington, Ramsey County
9078,city,Micro, NC, Raleigh, Johnston County
9076,city,Libby, MT, Lincoln County,
9075,city,Pittsburg, IL, Carbondale-Marion, Williamson County
9074,city,Pioneer, LA, West Carroll Parish,
9071,city,Pineville, KY, Middlesborough, Bell County
9061,city,Mesa, CO, Grand Junction, Mesa County
9060,city,Merritt, MI, Cadillac, Missaukee County
9059,city,Mercer, MO, Mercer County,
9058,city,Mentone, CA, Riverside-San Bernardino-Ontario, San Bernardino County
9057,city,Mendon, MA, Worcester, Worcester County
9056,city,Leona, TX, Leon County,
9055,city,Leon, KS, Wichita, Butler County
9054,city,Lenox, TN, Dyersburg, Dyer County
9050,city,Pine Hill, AL, Wilcox County,
9043,city,North Babylon, NY, New York-Newark-Jersey City, Suffolk County
9040,city,Normandy, TN, Tullahoma-Manchester, Coffee County
9039,city,Norfolk, MA, Boston-Cambridge-Newton, Norfolk County
9036,city,Norco, LA, New Orleans-Metairie, Saint Charles Parish
9035,city,Noma, FL, Holmes County,
9033,city,Melvin, KY, Floyd County,
9031,city,Medway, ME, Bangor, Penobscot County
9030,city,Medusa, NY, Albany-Schenectady-Troy, Albany County
9029,city,Medora, IN, Seymour, Jackson County
9027,city,Ripley, WV, Jackson County,
9025,city,Ringold, OK, McCurtain County,
9024,city,Pewee Valley, KY, Louisville/Jefferson County, Oldham County
9023,city,Pevely, MO, St. Louis, Jefferson County
9020,city,Nipomo, CA, San Luis Obispo-Paso Robles-Arroyo Grande, San Luis Obispo County
9019,city,Nicolaus, CA, Yuba City, Sutter County
9018,city,Newton Hamilton, PA, Lewistown, Mifflin County
9015,city,Newport, DE, Philadelphia-Camden-Wilmington, New Castle County
9014,city,McCloud, CA, Siskiyou County,
9013,city,McCammon, ID, Pocatello, Bannock County
9009,city,Reynolds, ND, Traill County,
9007,city,Rewey, WI, Madison, Iowa County
9005,city,Republic, PA, Pittsburgh, Fayette County
9002,city,Rensselaer, MO, Hannibal, Ralls County
8996,city,Newcastle, CA, Sacramento--Roseville--Arden-Arcade, Placer County
8992,city,Mc Connell, IL, Freeport, Stephenson County
8991,city,Mc Clure, OH, Henry County,
8988,city,Mayville, WI, Beaver Dam, Dodge County
8987,city,Maypearl, TX, Dallas-Fort Worth-Arlington, Ellis County
8986,city,Rollins, MT, Lake County,
8985,city,Rollingstone, MN, Winona, Winona County
8984,city,Rolling Hills, WY, Converse County,
8983,city,Rogersville, TN, Kingsport-Bristol-Bristol, Hawkins County
8981,city,Rockmart, GA, Cedartown, Polk County
8978,city,Penn Yan, NY, Rochester, Yates County
8974,city,Pecks Mill, WV, Logan, Logan County
8968,city,New Washington, OH, Bucyrus, Crawford County
8967,city,New Vineyard, ME, Franklin County,
8964,city,Maurepas, LA, Baton Rouge, Livingston Parish
8963,city,Mauldin, SC, Greenville-Anderson-Mauldin, Greenville County
8962,city,Mauk, GA, Columbus, Marion County
8961,city,Mattapoisett, MA, Boston-Cambridge-Newton, Plymouth County
8960,city,Town Of Masonville, NY, Delaware County,
8959,city,Town Of Maryland, NY, Oneonta, Otsego County
8958,city,Marydel, MD, Caroline County,
8956,city,Martinsville, IL, Clark County,
8955,city,Marsing, ID, Boise City, Owyhee County
8954,city,Ridgeway, VA, Martinsville, Henry County
8950,city,New Cambria, MO, Macon County,
8947,city,Nevada, OH, Wyandot County,
8941,city,Maringouin, LA, Baton Rouge, Iberville Parish
8940,city,Marietta, IL, Canton, Fulton County
8936,city,Red Oak, OK, Latimer County,
8935,city,Parlier, CA, Fresno, Fresno County
8929,city,Nelson, NE, Nuckolls County,
8925,city,Naylor, GA, Valdosta, Lowndes County
8923,city,Nauvoo, IL, Fort Madison-Keokuk, Hancock County
8921,city,Marble, MN, Grand Rapids, Itasca County
8918,city,Maple Falls, WA, Bellingham, Whatcom County
8914,city,Manorville, NY, New York-Newark-Jersey City, Suffolk County
8910,city,Rochester, TX, Haskell County,
8909,city,Roberts, IL, Champaign-Urbana, Ford County
8908,city,Robert, LA, Hammond, Tangipahoa Parish
8907,city,Robeline, LA, Natchitoches, Natchitoches Parish
8906,city,Roachdale, IN, Indianapolis-Carmel-Anderson, Putnam County
8901,city,Palmyra, MO, Hannibal, Marion County
8900,city,Nashville, AR, Howard County,
8899,city,Nashoba, OK, Pushmataha County,
8893,city,Murrysville, PA, Pittsburgh, Westmoreland County
8891,city,Manning, SC, Clarendon County,
8889,city,Mancelona, MI, Antrim County,
8886,city,Raymond, IA, Waterloo-Cedar Falls, Black Hawk County
8885,city,Rawlins, WY, Carbon County,
8884,city,Ravenswood, WV, Jackson County,
8881,city,Randolph, NH, Berlin, Coos County
8878,city,Ozark, MO, Springfield, Christian County
8877,city,Oxford, GA, Atlanta-Sandy Springs-Roswell, Newton County
8876,city,Munfordville, KY, Hart County,
8875,city,Munds Park, AZ, Flagstaff, Coconino County
8874,city,Munday, WV, Parkersburg-Vienna, Wirt County
8873,city,Mulino, OR, Portland-Vancouver-Hillsboro, Clackamas County
8872,city,Muenster, TX, Gainesville, Cooke County
8869,city,Moville, IA, Sioux City, Woodbury County
8867,city,Mount Vernon, IA, Cedar Rapids, Linn County
8863,city,Magnolia, NJ, Philadelphia-Camden-Wilmington, Camden County
8861,city,Magee, MS, Jackson, Simpson County
8860,city,Maeystown, IL, St. Louis, Monroe County
8858,city,Randall, IA, Hamilton County,
8856,city,Ralpho Township, PA, Sunbury, Northumberland County
8854,city,Rahway, NJ, New York-Newark-Jersey City, Union County
8850,city,Racine, WV, Charleston, Boone County
8848,city,Otway, OH, Portsmouth, Scioto County
8846,city,Town Of Otto, NY, Olean, Cattaraugus County
8844,city,Orwell, OH, Ashtabula, Ashtabula County
8843,city,Orrstown, PA, Chambersburg-Waynesboro, Franklin County
8842,city,Mount Sterling, KY, Montgomery County,
8837,city,Mount Hermon, KY, Monroe County,
8835,city,Mount Enterprise, TX, Longview, Rusk County
8834,city,Moultonborough, NH, Carroll County,
8831,city,Mosinee, WI, Wausau, Marathon County
8830,city,Mosheim, TN, Greeneville, Greene County
8828,city,Moscow, TX, Polk County,
8827,city,Town Of Lysander, NY, Syracuse, Onondaga County
8826,city,Lyons, WI, Whitewater-Elkhorn, Walworth County
8825,city,Lyndon, VT, Caledonia County,
8824,city,Lyndon, IL, Sterling, Whiteside County
8823,city,Lyndhurst, OH, Cleveland-Elyria, Cuyahoga County
8822,city,Lynch Station, VA, Lynchburg, Campbell County
8820,city,Lyles, TN, Nashville-Davidson--Murfreesboro--Franklin, Hickman County
8817,city,Lyburn, WV, Logan, Logan County
8814,city,Queen Creek, AZ, Phoenix-Mesa-Scottsdale, Pinal County
